"Time (seconds)","Speed (mph)"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,2.003485282
9,2.855314941
10,3.262225981
11,3.423785226
12,3.692876442
13,4.194136091
14,4.815624535
15,5.360895996
16,5.638150228
17,5.544630534
18,5.151227214
19,4.648324149
20,4.168154994
21,3.680035459
22,3.056615281
23,2.230247745
24,1.315366443
25,0
26,0
27,0
28,0
29,2.928432501
30,5.189249209
31,7.552253185
32,9.603974144
33,11.05841099
34,11.86083729
35,12.24030762
36,12.57095122
37,13.17839855
38,14.18509847
39,15.49744117
40,16.97410377
41,18.48966053
42,19.82926374
43,20.76341553
44,21.2854305
45,21.65477004
46,22.21609724
47,23.17062593
48,24.45110944
49,25.83272786
50,27.13718145
51,28.28807664
52,29.28318976
53,30.18160807
54,31.04710403
55,31.87706834
56,32.59833298
57,33.12730364
58,33.44680013
59,33.62780645
60,33.76532354
61,33.91008464
62,34.07577044
63,34.27062686
64,34.4703883
65,34.56091309
66,34.3416469
67,33.6133653
68,32.28169806
69,30.39809919
70,28.11135184
71,25.56640451
72,22.84635056
73,20.01807629
74,17.21721749
75,14.67473889
76,12.66212472
77,11.38143938
78,10.86169131
79,10.94706601
80,11.38840227
81,11.96352911
82,12.55698219
83,13.14739351
84,13.70335077
85,14.09427816
86,14.12604364
87,13.68428571
88,12.84286075
89,11.82068534
90,10.84019717
91,10.01978702
92,9.366641206
93,8.839742839
94,8.386019694
95,7.932130766
96,7.413395415
97,6.824959077
98,6.218185686
99,5.657806338
100,5.176757813
101,4.736156762
102,4.223454474
103,3.512490002
104,2.56379255
105,1.517726353
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,2.149313151
325,3.524051572
326,4.826115723
327,6.057235514
328,7.33564674
329,8.663227074
330,9.951556455
331,11.17174537
332,12.33803676
333,13.39753139
334,14.22956438
335,14.72112212
336,14.85126186
337,14.72871931
338,14.50441116
339,14.26329764
340,14.04342599
341,13.91998605
342,14.02283285
343,14.46467727
344,15.23960879
345,16.17496071
346,17.00052816
347,17.50673968
348,17.66540853
349,17.58599121
350,17.29738804
351,16.57245454
352,15.06982166
353,12.7030299
354,9.853167783
355,7.234374884
356,5.505231817
357,4.901276739
358,5.221284993
359,6.107640788
360,7.249035877
361,8.460326567
362,9.72662121
363,11.09893055
364,12.54100935
365,13.9551645
366,15.31362014
367,16.70829939
368,18.23818917
369,19.83381917
370,21.27464739
371,22.42723284
372,23.41035191
373,24.48571126
374,25.80274995
375,27.26502186
376,28.5876359
377,29.44484631
378,29.65745594
