"Time (seconds)","Speed (mph)"
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1.197047759
9,2.000661563
10,2.762083566
11,3.414465332
12,3.942345785
13,4.281889416
14,4.337170875
15,4.076296735
16,3.587168085
17,3.033436279
18,2.560093064
19,2.224203869
20,1.977152797
21,1.702014102
22,1.303974261
23,0.80846296
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,2.08771031
190,3.40706636
191,4.566838146
192,5.513686756
193,6.370407017
194,7.228983329
195,8.096367769
196,8.968404948
197,9.894105399
198,10.91530413
199,11.95584182
200,12.80629836
201,13.22011103
202,13.07409215
203,12.48547201
204,11.75628941
205,11.19997175
206,11.00516578
207,11.19057617
208,11.63929699
209,12.18700474
210,12.70938012
211,13.14996675
212,13.47216262
213,13.58349679
214,13.32342634
215,12.57249372
216,11.4012865
217,10.09611212
218,9.024760393
219,8.448988444
220,8.41060605
221,8.771908715
222,9.353158715
223,10.02071684
224,10.69352597
225,11.32715623
226,11.89329474
227,12.36294747
228,12.71185965
229,12.93545061
230,13.05053653
231,13.07451742
232,12.99486584
233,12.77565732
234,12.41887044
235,12.00830857
236,11.64837542
237,11.32549119
238,10.84615816
239,9.952133092
240,8.519439058
241,6.666989397
242,4.689658203
243,2.890706031
244,1.48261277
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1.908096924
350,3.148641125
351,4.162873361
352,4.739625593
353,4.913955543
354,4.879881708
355,4.872718797
356,5.04052374
357,5.386212158
358,5.828334089
359,6.292397054
360,6.725496419
361,7.065793283
362,7.273723145
363,7.398446103
364,7.55740868
365,7.824914144
366,8.157035377
367,8.462038458
368,8.74975865
369,9.15014288
370,9.759138125
371,10.52570481
372,11.31253127
373,12.02384533
374,12.65662324
375,13.24079247
376,13.74539121
377,14.073494
378,14.16216094
379,14.04569109
380,13.77714588
381,13.32570045
382,12.62947626
383,11.75153576
384,10.93810652
385,10.50519636
386,10.63761562
387,11.27146391
388,12.18802827
389,13.19810692
390,14.19977929
391,15.12858817
392,15.93008644
393,16.56279047
394,17.00365281
395,17.25448446
396,17.35541754
397,17.4148652
398,17.60148112
399,18.0505317
400,18.76589123
401,19.61872099
402,20.44030244
